agent_id,support_team,tenure_months,cost_per_hour,location,active_flag
A0001,AV Specialist,51,33.28,Accra Hub,True
A0002,Safety,45,35.29,Accra Hub,True
A0003,General Support,57,19.75,Remote,True
A0004,AV Specialist,13,32.51,Remote,True
A0005,General Support,2,21.32,Accra Hub,True
A0006,AV Specialist,27,29.01,Remote,True
A0007,Payments,6,26.51,Remote,True
A0008,Payments,36,24.2,Remote,True
A0009,General Support,26,22.82,Remote,True
A0010,General Support,47,18.03,Accra Hub,True
A0011,Payments,49,23.48,Accra Hub,True
A0012,General Support,71,21.18,Remote,True
A0013,Payments,1,27.02,Accra Hub,True
A0014,General Support,36,22.46,Accra Hub,True
A0015,General Support,58,23.6,Accra Hub,True
A0016,General Support,19,19.56,Accra Hub,True
A0017,General Support,63,23.54,Accra Hub,True
A0018,General Support,48,18.69,Accra Hub,True
A0019,AV Specialist,36,26.79,Accra Hub,True
A0020,General Support,9,20.8,Accra Hub,True
A0021,General Support,41,19.27,Remote,True
A0022,General Support,1,18.19,Remote,True
A0023,AV Specialist,23,30.76,Remote,True
A0024,General Support,28,20.45,Accra Hub,True
A0025,AV Specialist,7,33.31,Remote,True
A0026,AV Specialist,6,33.85,Accra Hub,False
A0027,General Support,64,23.55,Accra Hub,True
A0028,Safety,35,34.19,Accra Hub,True
A0029,Payments,7,23.85,Remote,True
A0030,AV Specialist,24,33.6,Accra Hub,True
A0031,General Support,43,20.24,Accra Hub,True
A0032,Payments,65,24.27,Accra Hub,True
A0033,Payments,33,25.81,Accra Hub,True
A0034,General Support,13,21.8,Accra Hub,True
A0035,AV Specialist,35,25.94,Accra Hub,True
A0036,AV Specialist,50,26.72,Accra Hub,True
A0037,Payments,10,22.0,Accra Hub,True
A0038,AV Specialist,46,25.89,Remote,True
A0039,General Support,25,20.06,Remote,True
A0040,AV Specialist,72,33.54,Remote,True
A0041,General Support,32,22.8,Accra Hub,True
A0042,Safety,41,30.73,Accra Hub,True
A0043,Payments,51,22.7,Remote,True
A0044,AV Specialist,59,33.99,Accra Hub,True
A0045,General Support,4,22.32,Accra Hub,True
A0046,General Support,26,21.14,Accra Hub,True
A0047,AV Specialist,1,33.81,Remote,True
A0048,General Support,6,23.72,Remote,True
A0049,General Support,35,18.7,Accra Hub,True
A0050,Payments,30,25.82,Accra Hub,True
A0051,General Support,52,22.14,Remote,True
A0052,Payments,49,27.18,Accra Hub,True
A0053,AV Specialist,67,29.49,Remote,True
A0054,Payments,19,26.08,Accra Hub,True
A0055,Payments,40,24.13,Accra Hub,True
A0056,General Support,10,20.41,Remote,True
A0057,General Support,31,21.38,Remote,True
A0058,General Support,8,19.28,Remote,True
A0059,AV Specialist,66,32.13,Accra Hub,True
A0060,General Support,39,20.98,Remote,True
A0061,AV Specialist,6,32.66,Remote,True
A0062,General Support,25,22.72,Accra Hub,True
A0063,Safety,56,34.75,Remote,True
A0064,General Support,56,22.13,Remote,True
A0065,AV Specialist,54,32.63,Remote,True
A0066,AV Specialist,46,28.05,Accra Hub,False
A0067,General Support,71,22.37,Remote,True
A0068,Safety,68,39.09,Remote,True
A0069,General Support,29,18.19,Accra Hub,True
A0070,General Support,71,21.0,Remote,True
A0071,Safety,50,29.74,Accra Hub,True
A0072,General Support,1,20.31,Remote,True
A0073,General Support,54,22.97,Accra Hub,True
A0074,General Support,17,19.19,Accra Hub,True
A0075,Safety,62,28.43,Remote,True
A0076,AV Specialist,18,27.56,Remote,True
A0077,General Support,35,22.68,Remote,True
A0078,General Support,64,18.65,Accra Hub,True
A0079,Payments,57,25.52,Remote,False
A0080,AV Specialist,10,31.68,Remote,True
A0081,General Support,71,21.42,Accra Hub,True
A0082,General Support,31,23.61,Accra Hub,True
A0083,AV Specialist,39,31.82,Remote,True
A0084,General Support,4,18.53,Accra Hub,True
A0085,Payments,3,27.13,Accra Hub,True
A0086,AV Specialist,35,29.93,Remote,True
A0087,Payments,26,27.81,Accra Hub,True
A0088,Payments,3,27.91,Remote,True
A0089,AV Specialist,7,26.47,Accra Hub,True
A0090,Payments,53,23.49,Remote,False
A0091,AV Specialist,43,30.88,Accra Hub,True
A0092,Payments,38,22.33,Accra Hub,True
A0093,General Support,41,20.41,Accra Hub,True
A0094,Payments,72,27.93,Remote,True
A0095,General Support,34,21.16,Accra Hub,True
A0096,General Support,72,19.99,Remote,True
A0097,General Support,22,19.11,Accra Hub,True
A0098,Safety,57,37.0,Remote,False
A0099,Payments,46,27.58,Accra Hub,True
A0100,AV Specialist,22,33.32,Accra Hub,True
A0101,Payments,9,22.39,Remote,True
A0102,General Support,9,18.45,Accra Hub,True
A0103,General Support,48,23.94,Accra Hub,True
A0104,General Support,12,23.72,Remote,True
A0105,General Support,45,19.32,Accra Hub,True
A0106,AV Specialist,50,26.78,Accra Hub,False
A0107,General Support,54,21.54,Remote,True
A0108,Payments,10,23.9,Accra Hub,True
A0109,General Support,9,22.31,Accra Hub,False
A0110,General Support,21,19.23,Accra Hub,True
A0111,General Support,36,22.84,Accra Hub,True
A0112,Safety,7,31.39,Remote,True
A0113,General Support,36,18.84,Accra Hub,True
A0114,General Support,4,20.05,Remote,True
A0115,General Support,11,18.12,Accra Hub,True
A0116,General Support,29,21.87,Accra Hub,True
A0117,AV Specialist,42,25.61,Accra Hub,True
A0118,AV Specialist,30,26.33,Accra Hub,True
A0119,General Support,51,22.76,Accra Hub,True
A0120,General Support,14,21.03,Accra Hub,True
