assignment_id,ticket_id,experiment_name,experiment_group,assigned_at,eligibility_flag
EXP000001,TK0000032,AV_Guided_Support_v1,Control,2026-06-19 13:44:11,True
EXP000002,TK0000041,AV_Guided_Support_v1,Control,2026-05-03 06:57:52,True
EXP000003,TK0000047,AV_Guided_Support_v1,Treatment,2026-06-12 05:11:55,True
EXP000004,TK0000049,AV_Guided_Support_v1,Control,2026-05-17 01:31:05,True
EXP000005,TK0000055,AV_Guided_Support_v1,Control,2026-04-01 20:24:11,True
EXP000006,TK0000057,AV_Guided_Support_v1,Treatment,2026-05-06 17:22:13,True
EXP000007,TK0000066,AV_Guided_Support_v1,Control,2026-05-17 14:48:46,True
EXP000008,TK0000074,AV_Guided_Support_v1,Treatment,2026-05-02 09:45:32,True
EXP000009,TK0000075,AV_Guided_Support_v1,Treatment,2026-06-08 12:11:17,True
EXP000010,TK0000083,AV_Guided_Support_v1,Treatment,2026-06-26 08:10:38,True
EXP000011,TK0000091,AV_Guided_Support_v1,Treatment,2026-06-08 22:14:35,True
EXP000012,TK0000098,AV_Guided_Support_v1,Treatment,2026-05-30 06:55:53,True
EXP000013,TK0000110,AV_Guided_Support_v1,Treatment,2026-05-11 19:22:08,True
EXP000014,TK0000115,AV_Guided_Support_v1,Control,2026-05-07 15:41:49,True
EXP000015,TK0000132,AV_Guided_Support_v1,Control,2026-05-06 02:57:44,True
EXP000016,TK0000134,AV_Guided_Support_v1,Control,2026-04-16 08:24:28,True
EXP000017,TK0000136,AV_Guided_Support_v1,Treatment,2026-05-14 14:58:09,True
EXP000018,TK0000144,AV_Guided_Support_v1,Control,2026-06-01 14:49:12,True
EXP000019,TK0000145,AV_Guided_Support_v1,Control,2026-05-28 02:34:04,True
EXP000020,TK0000146,AV_Guided_Support_v1,Treatment,2026-04-18 00:58:44,True
EXP000021,TK0000151,AV_Guided_Support_v1,Treatment,2026-05-22 04:47:24,True
EXP000022,TK0000152,AV_Guided_Support_v1,Treatment,2026-06-29 02:36:37,True
EXP000023,TK0000170,AV_Guided_Support_v1,Treatment,2026-05-15 11:03:45,True
EXP000024,TK0000174,AV_Guided_Support_v1,Treatment,2026-05-28 02:58:53,True
EXP000025,TK0000175,AV_Guided_Support_v1,Control,2026-06-05 09:21:08,True
EXP000026,TK0000179,AV_Guided_Support_v1,Control,2026-04-20 18:13:44,True
EXP000027,TK0000184,AV_Guided_Support_v1,Control,2026-05-07 07:33:20,True
EXP000028,TK0000194,AV_Guided_Support_v1,Control,2026-06-09 09:46:27,True
EXP000029,TK0000195,AV_Guided_Support_v1,Control,2026-05-30 07:45:06,True
EXP000030,TK0000201,AV_Guided_Support_v1,Control,2026-06-08 20:32:39,True
EXP000031,TK0000202,AV_Guided_Support_v1,Treatment,2026-05-05 12:11:56,True
EXP000032,TK0000206,AV_Guided_Support_v1,Treatment,2026-04-21 08:22:16,True
EXP000033,TK0000211,AV_Guided_Support_v1,Control,2026-06-22 10:36:35,True
EXP000034,TK0000214,AV_Guided_Support_v1,Treatment,2026-05-12 04:14:40,True
EXP000035,TK0000220,AV_Guided_Support_v1,Control,2026-05-25 07:47:59,True
EXP000036,TK0000228,AV_Guided_Support_v1,Control,2026-04-08 21:38:57,True
EXP000037,TK0000242,AV_Guided_Support_v1,Control,2026-04-03 05:44:28,True
EXP000038,TK0000249,AV_Guided_Support_v1,Treatment,2026-05-30 08:03:45,True
EXP000039,TK0000258,AV_Guided_Support_v1,Control,2026-06-18 20:01:51,True
EXP000040,TK0000267,AV_Guided_Support_v1,Treatment,2026-05-25 08:37:05,True
EXP000041,TK0000270,AV_Guided_Support_v1,Control,2026-06-05 09:02:07,True
EXP000042,TK0000275,AV_Guided_Support_v1,Treatment,2026-06-16 01:11:01,True
EXP000043,TK0000279,AV_Guided_Support_v1,Treatment,2026-06-10 13:29:04,True
EXP000044,TK0000284,AV_Guided_Support_v1,Control,2026-05-20 03:15:17,True
EXP000045,TK0000290,AV_Guided_Support_v1,Control,2026-05-29 13:27:53,True
EXP000046,TK0000302,AV_Guided_Support_v1,Treatment,2026-06-04 09:42:33,True
EXP000047,TK0000304,AV_Guided_Support_v1,Treatment,2026-06-26 21:59:39,True
EXP000048,TK0000313,AV_Guided_Support_v1,Control,2026-05-06 23:52:43,True
EXP000049,TK0000321,AV_Guided_Support_v1,Treatment,2026-05-21 08:10:39,True
EXP000050,TK0000331,AV_Guided_Support_v1,Treatment,2026-04-25 19:45:01,True
EXP000051,TK0000336,AV_Guided_Support_v1,Control,2026-06-22 05:17:22,True
EXP000052,TK0000341,AV_Guided_Support_v1,Control,2026-05-06 23:55:20,True
EXP000053,TK0000370,AV_Guided_Support_v1,Treatment,2026-06-04 16:34:56,True
EXP000054,TK0000371,AV_Guided_Support_v1,Treatment,2026-06-09 16:37:36,True
EXP000055,TK0000376,AV_Guided_Support_v1,Control,2026-04-04 16:49:44,True
EXP000056,TK0000399,AV_Guided_Support_v1,Control,2026-04-16 07:33:24,True
EXP000057,TK0000403,AV_Guided_Support_v1,Control,2026-05-22 10:12:40,True
EXP000058,TK0000411,AV_Guided_Support_v1,Treatment,2026-04-28 21:53:01,True
EXP000059,TK0000415,AV_Guided_Support_v1,Control,2026-05-07 10:07:17,True
EXP000060,TK0000416,AV_Guided_Support_v1,Control,2026-04-14 04:05:52,True
EXP000061,TK0000417,AV_Guided_Support_v1,Control,2026-04-18 23:24:26,True
EXP000062,TK0000419,AV_Guided_Support_v1,Treatment,2026-05-31 23:17:07,True
EXP000063,TK0000422,AV_Guided_Support_v1,Control,2026-04-03 07:33:42,True
EXP000064,TK0000426,AV_Guided_Support_v1,Treatment,2026-05-27 09:36:43,True
EXP000065,TK0000428,AV_Guided_Support_v1,Treatment,2026-05-30 03:44:24,True
EXP000066,TK0000429,AV_Guided_Support_v1,Treatment,2026-06-29 20:34:25,True
EXP000067,TK0000433,AV_Guided_Support_v1,Treatment,2026-05-24 07:20:39,True
EXP000068,TK0000440,AV_Guided_Support_v1,Control,2026-06-04 02:56:46,True
EXP000069,TK0000450,AV_Guided_Support_v1,Treatment,2026-04-20 19:34:24,True
EXP000070,TK0000452,AV_Guided_Support_v1,Control,2026-05-29 06:22:39,True
EXP000071,TK0000472,AV_Guided_Support_v1,Control,2026-06-05 10:36:49,True
EXP000072,TK0000476,AV_Guided_Support_v1,Treatment,2026-05-28 17:58:18,True
EXP000073,TK0000489,AV_Guided_Support_v1,Treatment,2026-05-30 01:00:18,True
EXP000074,TK0000495,AV_Guided_Support_v1,Treatment,2026-06-23 14:30:50,True
EXP000075,TK0000512,AV_Guided_Support_v1,Control,2026-05-15 18:55:41,True
EXP000076,TK0000520,AV_Guided_Support_v1,Treatment,2026-04-04 22:28:37,True
EXP000077,TK0000521,AV_Guided_Support_v1,Treatment,2026-04-01 18:54:53,True
EXP000078,TK0000526,AV_Guided_Support_v1,Control,2026-05-29 17:22:27,True
EXP000079,TK0000539,AV_Guided_Support_v1,Treatment,2026-04-16 11:00:38,True
EXP000080,TK0000544,AV_Guided_Support_v1,Treatment,2026-06-26 18:12:12,True
EXP000081,TK0000549,AV_Guided_Support_v1,Control,2026-04-18 12:53:20,True
EXP000082,TK0000557,AV_Guided_Support_v1,Treatment,2026-05-26 20:09:29,True
EXP000083,TK0000562,AV_Guided_Support_v1,Control,2026-04-19 03:07:48,True
EXP000084,TK0000563,AV_Guided_Support_v1,Treatment,2026-06-29 23:58:37,True
EXP000085,TK0000564,AV_Guided_Support_v1,Control,2026-04-02 04:31:39,True
EXP000086,TK0000566,AV_Guided_Support_v1,Control,2026-06-01 20:50:09,True
EXP000087,TK0000567,AV_Guided_Support_v1,Control,2026-04-21 13:05:56,True
EXP000088,TK0000569,AV_Guided_Support_v1,Treatment,2026-05-17 18:07:21,True
EXP000089,TK0000572,AV_Guided_Support_v1,Treatment,2026-06-02 10:21:02,True
EXP000090,TK0000577,AV_Guided_Support_v1,Treatment,2026-05-02 09:07:49,True
EXP000091,TK0000583,AV_Guided_Support_v1,Treatment,2026-04-20 13:45:30,True
EXP000092,TK0000584,AV_Guided_Support_v1,Treatment,2026-06-18 22:07:18,True
EXP000093,TK0000587,AV_Guided_Support_v1,Treatment,2026-04-14 07:41:34,True
EXP000094,TK0000591,AV_Guided_Support_v1,Control,2026-05-17 23:58:00,True
EXP000095,TK0000623,AV_Guided_Support_v1,Control,2026-05-07 18:34:30,True
EXP000096,TK0000624,AV_Guided_Support_v1,Control,2026-05-30 13:04:46,True
EXP000097,TK0000625,AV_Guided_Support_v1,Control,2026-05-09 20:14:02,True
EXP000098,TK0000628,AV_Guided_Support_v1,Treatment,2026-06-24 13:02:04,True
EXP000099,TK0000636,AV_Guided_Support_v1,Control,2026-06-09 05:20:58,True
EXP000100,TK0000649,AV_Guided_Support_v1,Control,2026-05-26 14:08:22,True
EXP000101,TK0000656,AV_Guided_Support_v1,Control,2026-04-15 21:40:26,True
EXP000102,TK0000659,AV_Guided_Support_v1,Control,2026-05-22 22:14:39,True
EXP000103,TK0000664,AV_Guided_Support_v1,Treatment,2026-05-12 03:31:12,True
EXP000104,TK0000671,AV_Guided_Support_v1,Control,2026-05-29 18:52:16,True
EXP000105,TK0000672,AV_Guided_Support_v1,Control,2026-04-26 09:30:54,True
EXP000106,TK0000679,AV_Guided_Support_v1,Control,2026-05-22 23:10:18,True
EXP000107,TK0000681,AV_Guided_Support_v1,Control,2026-06-10 01:28:41,True
EXP000108,TK0000684,AV_Guided_Support_v1,Treatment,2026-04-11 19:16:49,True
EXP000109,TK0000690,AV_Guided_Support_v1,Control,2026-05-10 01:14:34,True
EXP000110,TK0000691,AV_Guided_Support_v1,Control,2026-06-27 07:58:25,True
EXP000111,TK0000713,AV_Guided_Support_v1,Control,2026-06-01 00:57:25,True
EXP000112,TK0000722,AV_Guided_Support_v1,Treatment,2026-06-27 12:59:44,True
EXP000113,TK0000731,AV_Guided_Support_v1,Treatment,2026-04-10 22:47:02,True
