adjustment_id,ticket_id,trip_id,adjustment_type,amount,reason,created_at,currency
ADJ0000001,TK0000002,T0000016,appeasement_credit,19.29,service_recovery,2026-03-21 14:36:20.000000000,USD
ADJ0000002,TK0000004,T0000032,refund,25.66,trip_status_issue,2026-01-20 12:36:33.000000000,USD
ADJ0000003,TK0000005,T0000042,refund,1.86,vehicle_access_issue,2026-03-01 10:24:02.000000000,USD
ADJ0000004,TK0000005,T0000042,appeasement_credit,3.41,service_recovery,2026-03-01 11:16:02.000000000,USD
ADJ0000005,TK0000006,T0000051,refund,7.56,payment_issue,2026-04-29 06:16:04.000000000,USD
ADJ0000006,TK0000008,T0000055,refund,34.14,payment_issue,2026-05-28 19:57:58.000000000,USD
ADJ0000007,TK0000013,T0000083,refund,6.65,trip_status_issue,2026-03-07 10:46:34.000000000,USD
ADJ0000008,TK0000013,T0000083,appeasement_credit,16.91,service_recovery,2026-03-07 11:02:34.000000000,USD
ADJ0000009,TK0000018,T0000125,appeasement_credit,12.21,service_recovery,2026-05-07 17:38:42.000000000,USD
ADJ0000010,TK0000019,T0000136,appeasement_credit,6.27,service_recovery,2026-04-19 15:04:45.000000000,USD
ADJ0000011,TK0000025,T0000187,refund,5.68,route_issue,2026-05-03 16:26:15.000000000,USD
ADJ0000012,TK0000025,T0000187,appeasement_credit,17.09,service_recovery,2026-05-03 16:35:15.000000000,USD
ADJ0000013,TK0000031,T0000215,refund,12.96,vehicle_access_issue,2026-03-06 01:51:42.000000000,USD
ADJ0000014,TK0000035,T0000236,refund,3.06,payment_issue,2026-03-02 01:29:15.000000000,USD
ADJ0000015,TK0000036,T0000238,appeasement_credit,11.36,service_recovery,2026-06-26 20:06:11.000000000,USD
ADJ0000016,TK0000038,T0000267,appeasement_credit,4.45,service_recovery,2026-02-21 21:17:51.000000000,USD
ADJ0000017,TK0000040,T0000312,refund,11.95,payment_issue,2026-06-23 06:29:03.000000000,USD
ADJ0000018,TK0000047,T0000405,refund,9.0,trip_status_issue,2026-06-12 22:01:55.000000000,USD
ADJ0000019,TK0000048,T0000407,refund,2.9,route_issue,2026-06-02 08:07:13.000000000,USD
ADJ0000020,TK0000049,T0000416,refund,2.55,cancellation_issue,2026-05-17 13:24:05.000000000,USD
ADJ0000021,TK0000052,T0000443,refund,7.62,payment_issue,2026-01-01 06:11:06.000000000,USD
ADJ0000022,TK0000054,T0000457,refund,5.71,pickup_issue,2026-03-23 20:19:51.000000000,USD
ADJ0000023,TK0000056,T0000470,refund,5.14,cancellation_issue,2026-02-14 11:44:14.000000000,USD
ADJ0000024,TK0000057,T0000482,refund,2.31,cancellation_issue,2026-05-06 22:29:13.000000000,USD
ADJ0000025,TK0000059,T0000525,refund,6.33,payment_issue,2026-05-01 23:48:56.000000000,USD
ADJ0000026,TK0000060,T0000529,refund,1.66,vehicle_access_issue,2026-02-18 12:22:39.000000000,USD
ADJ0000027,TK0000063,T0000551,refund,18.2,payment_issue,2026-01-24 05:31:33.000000000,USD
ADJ0000028,TK0000064,T0000556,appeasement_credit,14.38,service_recovery,2026-06-23 15:19:49.000000000,USD
ADJ0000029,TK0000067,T0000577,refund,5.14,cancellation_issue,2026-02-07 13:23:04.000000000,USD
ADJ0000030,TK0000070,T0000607,refund,5.87,payment_issue,2026-05-05 04:07:26.000000000,USD
ADJ0000031,TK0000071,T0000609,refund,4.79,cancellation_issue,2026-04-10 21:59:47.000000000,USD
ADJ0000032,TK0000073,T0000626,refund,6.97,payment_issue,2026-06-19 19:18:54.000000000,USD
ADJ0000033,TK0000079,T0000687,refund,13.47,payment_issue,2026-01-07 08:55:03.000000000,USD
ADJ0000034,TK0000090,T0000789,refund,9.25,other,2026-05-10 19:50:47.000000000,USD
ADJ0000035,TK0000092,T0000797,refund,2.38,cancellation_issue,2026-01-20 07:24:08.000000000,USD
ADJ0000036,TK0000093,T0000809,refund,5.74,route_issue,2026-04-17 17:17:49.000000000,USD
ADJ0000037,TK0000094,T0000811,refund,4.26,cancellation_issue,2026-01-09 07:35:42.000000000,USD
ADJ0000038,TK0000099,T0000838,refund,12.26,other,2026-05-01 02:17:29.000000000,USD
ADJ0000039,TK0000100,T0000845,refund,20.56,payment_issue,2026-01-21 20:21:02.000000000,USD
ADJ0000040,TK0000103,T0000878,refund,2.91,trip_status_issue,2026-02-19 01:58:49.000000000,USD
ADJ0000041,TK0000107,T0000887,refund,13.85,cancellation_issue,2026-04-17 05:26:06.000000000,USD
ADJ0000042,TK0000108,T0000898,refund,13.96,payment_issue,2026-01-09 04:20:44.000000000,USD
ADJ0000043,TK0000117,T0000984,refund,5.91,trip_status_issue,2026-01-29 18:22:59.000000000,USD
ADJ0000044,TK0000120,T0001014,refund,3.4,cancellation_issue,2026-02-23 19:50:41.000000000,USD
ADJ0000045,TK0000128,T0001092,appeasement_credit,7.35,service_recovery,2026-06-20 18:53:45.000000000,USD
ADJ0000046,TK0000130,T0001098,refund,9.98,cancellation_issue,2026-02-03 13:29:57.000000000,USD
ADJ0000047,TK0000132,T0001106,refund,1.29,pickup_issue,2026-05-06 05:46:44.000000000,USD
ADJ0000048,TK0000138,T0001148,appeasement_credit,5.98,service_recovery,2026-03-13 05:18:26.000000000,USD
ADJ0000049,TK0000141,T0001182,appeasement_credit,8.28,service_recovery,2026-05-10 20:38:56.000000000,USD
ADJ0000050,TK0000147,T0001270,refund,3.82,cancellation_issue,2026-05-21 10:40:44.000000000,USD
ADJ0000051,TK0000147,T0001270,appeasement_credit,12.28,service_recovery,2026-05-21 11:04:44.000000000,USD
ADJ0000052,TK0000148,T0001273,appeasement_credit,8.53,service_recovery,2026-02-02 03:30:01.000000000,USD
ADJ0000053,TK0000153,T0001301,refund,21.94,dropoff_issue,2026-02-27 19:29:28.000000000,USD
ADJ0000054,TK0000155,T0001316,refund,7.84,payment_issue,2026-03-06 05:21:56.000000000,USD
ADJ0000055,TK0000160,T0001352,refund,17.0,cancellation_issue,2026-01-20 15:45:00.000000000,USD
ADJ0000056,TK0000160,T0001352,appeasement_credit,9.05,service_recovery,2026-01-20 16:17:00.000000000,USD
ADJ0000057,TK0000161,T0001361,refund,9.05,cancellation_issue,2026-01-23 02:51:21.000000000,USD
ADJ0000058,TK0000162,T0001366,refund,5.53,payment_issue,2026-05-19 22:54:39.000000000,USD
ADJ0000059,TK0000163,T0001371,refund,10.56,payment_issue,2026-05-22 03:43:31.000000000,USD
ADJ0000060,TK0000164,T0001381,refund,7.71,trip_status_issue,2026-06-11 17:29:20.000000000,USD
ADJ0000061,TK0000165,T0001382,refund,9.57,trip_status_issue,2026-02-27 20:43:46.000000000,USD
ADJ0000062,TK0000169,T0001409,refund,2.88,cancellation_issue,2026-01-27 10:57:24.000000000,USD
ADJ0000063,TK0000175,T0001467,refund,10.47,pickup_issue,2026-06-05 21:12:08.000000000,USD
ADJ0000064,TK0000176,T0001469,refund,7.6,pickup_issue,2026-04-26 01:37:56.000000000,USD
ADJ0000065,TK0000178,T0001481,refund,1.66,cancellation_issue,2026-02-07 08:42:39.000000000,USD
ADJ0000066,TK0000179,T0001493,appeasement_credit,13.5,service_recovery,2026-04-21 02:19:44.000000000,USD
ADJ0000067,TK0000182,T0001542,refund,7.22,other,2026-02-07 23:55:14.000000000,USD
ADJ0000068,TK0000184,T0001555,appeasement_credit,11.62,service_recovery,2026-05-08 06:54:20.000000000,USD
ADJ0000069,TK0000185,T0001567,refund,2.82,other,2026-04-29 04:38:14.000000000,USD
ADJ0000070,TK0000187,T0001596,refund,3.72,dropoff_issue,2026-05-26 03:59:02.000000000,USD
ADJ0000071,TK0000192,T0001627,refund,8.4,payment_issue,2026-01-15 22:23:12.000000000,USD
ADJ0000072,TK0000197,T0001689,appeasement_credit,6.14,service_recovery,2026-04-09 11:37:01.000000000,USD
ADJ0000073,TK0000199,T0001701,appeasement_credit,3.91,service_recovery,2026-04-15 05:34:44.000000000,USD
ADJ0000074,TK0000208,T0001756,refund,7.8,cancellation_issue,2026-03-24 05:48:19.000000000,USD
ADJ0000075,TK0000210,T0001785,refund,1.8,cancellation_issue,2026-03-29 10:51:09.000000000,USD
ADJ0000076,TK0000211,T0001803,refund,2.1,cancellation_issue,2026-06-22 17:27:35.000000000,USD
ADJ0000077,TK0000213,T0001827,refund,1.19,cancellation_issue,2026-02-09 19:21:35.000000000,USD
ADJ0000078,TK0000214,T0001849,refund,14.57,trip_status_issue,2026-05-13 05:18:40.000000000,USD
ADJ0000079,TK0000220,T0001898,appeasement_credit,19.47,service_recovery,2026-05-25 17:30:59.000000000,USD
ADJ0000080,TK0000223,T0001933,refund,2.48,trip_status_issue,2026-05-04 00:16:29.000000000,USD
ADJ0000081,TK0000225,T0001936,refund,2.08,safety_concern,2026-03-27 07:49:47.000000000,USD
ADJ0000082,TK0000232,T0001981,appeasement_credit,5.91,service_recovery,2026-03-27 07:48:18.000000000,USD
ADJ0000083,TK0000233,T0001982,refund,2.92,cancellation_issue,2026-06-12 20:46:11.000000000,USD
ADJ0000084,TK0000234,T0001986,appeasement_credit,6.41,service_recovery,2026-05-19 00:08:13.000000000,USD
ADJ0000085,TK0000235,T0001988,refund,7.82,cancellation_issue,2026-02-28 11:38:31.000000000,USD
ADJ0000086,TK0000235,T0001988,appeasement_credit,3.97,service_recovery,2026-02-28 11:23:31.000000000,USD
ADJ0000087,TK0000238,T0002008,refund,9.45,payment_issue,2026-03-30 08:55:58.000000000,USD
ADJ0000088,TK0000240,T0002024,appeasement_credit,4.69,service_recovery,2026-04-05 23:29:59.000000000,USD
ADJ0000089,TK0000241,T0002028,refund,4.61,trip_status_issue,2026-02-09 17:16:43.000000000,USD
ADJ0000090,TK0000241,T0002028,appeasement_credit,10.05,service_recovery,2026-02-09 16:56:43.000000000,USD
ADJ0000091,TK0000243,T0002047,refund,10.82,payment_issue,2026-01-15 12:23:08.000000000,USD
ADJ0000092,TK0000244,T0002072,refund,3.23,cancellation_issue,2026-03-04 02:53:27.000000000,USD
ADJ0000093,TK0000249,T0002126,appeasement_credit,3.19,service_recovery,2026-05-30 22:41:45.000000000,USD
ADJ0000094,TK0000252,T0002153,refund,7.72,trip_status_issue,2026-06-30 09:48:39.000000000,USD
ADJ0000095,TK0000254,T0002183,refund,26.72,payment_issue,2026-01-03 01:55:06.000000000,USD
ADJ0000096,TK0000255,T0002191,refund,4.72,vehicle_access_issue,2026-03-27 05:42:25.000000000,USD
ADJ0000097,TK0000255,T0002191,appeasement_credit,13.7,service_recovery,2026-03-27 05:28:25.000000000,USD
ADJ0000098,TK0000257,T0002202,refund,3.23,vehicle_access_issue,2026-02-07 22:59:46.000000000,USD
ADJ0000099,TK0000263,T0002245,refund,4.01,route_issue,2026-02-17 02:01:28.000000000,USD
ADJ0000100,TK0000265,T0002256,refund,5.61,vehicle_access_issue,2026-01-07 02:03:45.000000000,USD
ADJ0000101,TK0000268,T0002280,appeasement_credit,7.58,service_recovery,2026-03-18 05:57:27.000000000,USD
ADJ0000102,TK0000269,T0002308,refund,6.9,pickup_issue,2026-03-09 13:36:10.000000000,USD
ADJ0000103,TK0000269,T0002308,appeasement_credit,17.94,service_recovery,2026-03-09 14:17:10.000000000,USD
ADJ0000104,TK0000270,T0002310,refund,1.78,cancellation_issue,2026-06-06 13:20:07.000000000,USD
ADJ0000105,TK0000271,T0002320,refund,3.09,payment_issue,2026-03-13 03:59:23.000000000,USD
ADJ0000106,TK0000273,T0002346,refund,1.56,vehicle_access_issue,2026-03-27 22:07:36.000000000,USD
ADJ0000107,TK0000280,T0002470,refund,7.51,payment_issue,2026-04-11 08:21:56.000000000,USD
ADJ0000108,TK0000281,T0002473,refund,1.53,cancellation_issue,2026-06-16 21:40:59.000000000,USD
ADJ0000109,TK0000282,T0002497,refund,4.12,payment_issue,2026-06-09 21:09:10.000000000,USD
ADJ0000110,TK0000288,T0002561,appeasement_credit,15.9,service_recovery,2026-01-27 17:44:57.000000000,USD
ADJ0000111,TK0000290,T0002578,refund,10.11,vehicle_access_issue,2026-05-30 10:23:53.000000000,USD
ADJ0000112,TK0000290,T0002578,appeasement_credit,9.13,service_recovery,2026-05-30 11:01:53.000000000,USD
ADJ0000113,TK0000292,T0002596,refund,4.28,cancellation_issue,2026-02-07 02:33:15.000000000,USD
ADJ0000114,TK0000293,T0002602,appeasement_credit,6.68,service_recovery,2026-03-28 12:25:27.000000000,USD
ADJ0000115,TK0000294,T0002613,refund,0.95,cancellation_issue,2026-01-18 03:46:51.000000000,USD
ADJ0000116,TK0000300,T0002690,refund,2.07,payment_issue,2026-05-06 13:34:27.000000000,USD
ADJ0000117,TK0000304,T0002705,refund,3.06,trip_status_issue,2026-06-27 00:07:39.000000000,USD
ADJ0000118,TK0000308,T0002732,refund,6.36,lost_item,2026-02-20 16:52:53.000000000,USD
ADJ0000119,TK0000309,T0002737,refund,8.29,pickup_issue,2026-02-13 06:03:08.000000000,USD
ADJ0000120,TK0000310,T0002751,refund,7.93,payment_issue,2026-06-11 13:30:32.000000000,USD
ADJ0000121,TK0000312,T0002773,refund,4.42,dropoff_issue,2026-04-24 06:30:29.000000000,USD
ADJ0000122,TK0000317,T0002845,refund,1.51,pickup_issue,2026-06-16 08:05:10.000000000,USD
ADJ0000123,TK0000317,T0002845,appeasement_credit,13.42,service_recovery,2026-06-16 09:14:10.000000000,USD
ADJ0000124,TK0000318,T0002859,refund,4.12,dropoff_issue,2026-04-15 22:52:43.000000000,USD
