rider_id,signup_date,home_city,customer_segment
R000001,2024-03-06,Riverton,Occasional
R000002,2025-07-20,Metroville,Regular
R000003,2025-04-24,Metroville,Occasional
R000004,2024-11-17,Hillview,Regular
R000005,2024-11-12,Lakewood,Regular
R000006,2025-09-20,Metroville,Frequent
R000007,2024-03-03,Riverton,Occasional
R000008,2025-05-25,Lakewood,Occasional
R000009,2024-05-27,Hillview,Occasional
R000010,2024-03-09,Riverton,Regular
R000011,2025-01-20,Metroville,Frequent
R000012,2025-12-15,Metroville,Occasional
R000013,2025-06-22,Metroville,Frequent
R000014,2025-07-11,Riverton,Occasional
R000015,2025-06-09,Lakewood,Frequent
R000016,2025-07-29,Riverton,Regular
R000017,2025-01-10,Lakewood,Frequent
R000018,2024-04-03,Metroville,Regular
R000019,2025-09-06,Metroville,Regular
R000020,2024-11-25,Metroville,Occasional
R000021,2025-01-01,Lakewood,Occasional
R000022,2024-09-28,Lakewood,Regular
R000023,2024-05-13,Hillview,Occasional
R000024,2025-11-09,Metroville,Regular
R000025,2025-07-26,Riverton,Occasional
R000026,2025-04-16,Metroville,Occasional
R000027,2024-10-21,Riverton,Regular
R000028,2025-08-25,Metroville,Occasional
R000029,2025-02-03,Riverton,Regular
R000030,2024-11-20,Metroville,Frequent
R000031,2024-11-25,Metroville,Occasional
R000032,2024-06-15,Lakewood,Occasional
R000033,2024-03-08,Lakewood,Occasional
R000034,2025-02-09,Lakewood,Regular
R000035,2025-10-11,Metroville,Regular
R000036,2024-02-16,Hillview,Frequent
R000037,2025-09-20,Metroville,Occasional
R000038,2025-08-28,Lakewood,Occasional
R000039,2024-07-21,Hillview,Occasional
R000040,2025-04-07,Riverton,Occasional
R000041,2024-04-30,Metroville,Regular
R000042,2025-07-08,Lakewood,Frequent
R000043,2025-05-27,Metroville,Occasional
R000044,2024-09-16,Lakewood,Regular
R000045,2024-02-19,Lakewood,Regular
R000046,2025-12-11,Riverton,Frequent
R000047,2024-11-22,Hillview,Frequent
R000048,2025-10-15,Metroville,Frequent
R000049,2025-05-11,Metroville,Occasional
R000050,2025-07-23,Lakewood,Occasional
R000051,2025-07-10,Lakewood,Occasional
R000052,2024-05-22,Lakewood,Occasional
R000053,2024-09-23,Riverton,Regular
R000054,2024-12-07,Lakewood,Frequent
R000055,2024-12-30,Hillview,Regular
R000056,2024-02-02,Lakewood,Occasional
R000057,2025-02-04,Metroville,Occasional
R000058,2024-04-22,Metroville,Regular
R000059,2025-06-28,Riverton,Occasional
R000060,2025-05-14,Metroville,Occasional
R000061,2025-11-06,Metroville,Occasional
R000062,2025-06-29,Metroville,Frequent
R000063,2024-09-25,Riverton,Occasional
R000064,2025-12-09,Hillview,Frequent
R000065,2024-10-27,Lakewood,Regular
R000066,2024-08-26,Metroville,Regular
R000067,2025-10-24,Lakewood,Frequent
R000068,2024-09-28,Lakewood,Frequent
R000069,2024-02-25,Hillview,Occasional
R000070,2024-12-09,Lakewood,Occasional
R000071,2025-08-05,Riverton,Occasional
R000072,2024-05-18,Hillview,Occasional
R000073,2024-12-04,Riverton,Occasional
R000074,2024-04-05,Metroville,Regular
R000075,2025-05-17,Riverton,Occasional
R000076,2024-12-14,Lakewood,Frequent
R000077,2024-08-29,Lakewood,Frequent
R000078,2024-06-15,Hillview,Regular
R000079,2025-02-17,Metroville,Regular
R000080,2025-05-05,Lakewood,Occasional
R000081,2025-11-19,Metroville,Occasional
R000082,2024-11-15,Metroville,Occasional
R000083,2024-04-27,Riverton,Frequent
R000084,2025-09-01,Riverton,Occasional
R000085,2025-04-05,Riverton,Occasional
R000086,2025-05-27,Metroville,Regular
R000087,2024-03-12,Metroville,Occasional
R000088,2024-08-16,Lakewood,Frequent
R000089,2025-07-16,Lakewood,Frequent
R000090,2025-09-01,Riverton,Occasional
R000091,2024-11-14,Riverton,Regular
R000092,2025-08-12,Hillview,Occasional
R000093,2025-09-08,Riverton,Occasional
R000094,2024-10-10,Lakewood,Frequent
R000095,2025-10-19,Riverton,Occasional
R000096,2024-07-30,Riverton,Frequent
R000097,2024-06-24,Hillview,Frequent
R000098,2025-05-14,Lakewood,Regular
R000099,2025-04-11,Riverton,Occasional
R000100,2024-04-12,Lakewood,Occasional
R000101,2025-09-01,Riverton,Occasional
R000102,2024-05-26,Hillview,Occasional
R000103,2025-08-12,Hillview,Occasional
R000104,2024-01-06,Metroville,Occasional
R000105,2025-08-06,Metroville,Regular
R000106,2025-07-30,Riverton,Occasional
R000107,2025-07-25,Riverton,Occasional
R000108,2025-05-01,Hillview,Regular
R000109,2024-12-11,Metroville,Occasional
R000110,2025-05-31,Hillview,Occasional
R000111,2024-07-21,Riverton,Occasional
